classes,accuracy
airplane+crickets+door_wood_creaks,0.8333333333333334
airplane+crickets+door_wood_knock,0.9166666666666666
airplane+crickets+drinking_sipping,0.8958333333333334
airplane+crickets+engine,0.9166666666666666
airplane+crickets+fireworks,0.9166666666666666
airplane+crickets+footsteps,0.9166666666666666
airplane+crickets+frog,0.9166666666666666
airplane+crickets+glass_breaking,0.9166666666666666
airplane+crickets+hand_saw,0.875
airplane+crickets+helicopter,0.6875
airplane+crickets+hen,0.875
airplane+crickets+insects,0.8125
airplane+crickets+keyboard_typing,0.875
airplane+crickets+laughing,0.9166666666666666
airplane+crickets+mouse_click,0.9166666666666666
airplane+crickets+pig,0.875
airplane+crickets+pouring_water,0.9166666666666666
airplane+crickets+rain,0.7291666666666666
airplane+crickets+rooster,0.9166666666666666
airplane+crickets+sea_waves,0.8541666666666666
airplane+crickets+sheep,0.8333333333333334
airplane+crickets+siren,0.8333333333333334
airplane+crickets+sneezing,0.9166666666666666
airplane+crickets+snoring,0.9166666666666666
airplane+crickets+thunderstorm,0.8958333333333334
airplane+crickets+toilet_flush,0.9166666666666666
airplane+crickets+train,0.8125
airplane+crickets+vacuum_cleaner,0.8958333333333334
airplane+crickets+washing_machine,0.7291666666666666
airplane+crickets+water_drops,0.8541666666666666
airplane+crickets+wind,0.7708333333333334
airplane+crow+crying_baby,0.9166666666666666
airplane+crow+dog,0.9375
airplane+crow+door_wood_creaks,0.8125
airplane+crow+door_wood_knock,0.9791666666666666
airplane+crow+drinking_sipping,0.9583333333333334
airplane+crow+engine,0.9375
airplane+crow+fireworks,0.9375
airplane+crow+footsteps,0.9375
airplane+crow+frog,0.8541666666666666
airplane+crow+glass_breaking,1.0
airplane+crow+hand_saw,0.8541666666666666
airplane+crow+helicopter,0.8333333333333334
airplane+crow+hen,0.9375
airplane+crow+insects,0.8333333333333334
airplane+crow+keyboard_typing,0.9166666666666666
airplane+crow+laughing,0.875
airplane+crow+mouse_click,0.9166666666666666
airplane+crow+pig,0.7916666666666666
airplane+crow+pouring_water,0.8958333333333334
airplane+crow+rain,0.8333333333333334
airplane+crow+rooster,0.875
airplane+crow+sea_waves,0.8958333333333334
airplane+crow+sheep,0.875
airplane+crow+siren,0.875
airplane+crow+sneezing,0.9791666666666666
airplane+crow+snoring,0.9791666666666666
airplane+crow+thunderstorm,0.9166666666666666
airplane+crow+toilet_flush,0.875
airplane+crow+train,0.875
airplane+crow+vacuum_cleaner,0.9166666666666666
airplane+crow+washing_machine,0.8541666666666666
airplane+crow+water_drops,0.9375
airplane+crow+wind,0.8333333333333334
airplane+crying_baby+dog,0.875
