classes,accuracy
crickets+thunderstorm,0.96875
crickets+toilet_flush,0.9375
crickets+train,0.875
crickets+vacuum_cleaner,1.0
crickets+washing_machine,0.75
crickets+water_drops,0.875
crickets+wind,0.90625
crow+crying_baby,0.875
crow+dog,0.90625
crow+door_wood_creaks,0.71875
crow+door_wood_knock,0.96875
crow+drinking_sipping,0.9375
crow+engine,0.90625
crow+fireworks,0.90625
crow+footsteps,0.90625
crow+frog,0.78125
crow+glass_breaking,1.0
crow+hand_saw,0.84375
crow+helicopter,0.96875
crow+hen,0.90625
crow+insects,0.875
crow+keyboard_typing,0.875
crow+laughing,0.8125
crow+mouse_click,0.875
crow+pig,0.75
crow+pouring_water,0.84375
crow+rain,0.9375
crow+rooster,0.8125
crow+sea_waves,0.9375
crow+sheep,0.90625
crow+siren,0.875
crow+sneezing,0.96875
crow+snoring,0.96875
crow+thunderstorm,0.9375
crow+toilet_flush,0.8125
crow+train,1.0
crow+vacuum_cleaner,0.9375
crow+washing_machine,0.875
crow+water_drops,0.90625
crow+wind,1.0
crying_baby+dog,0.8125
crying_baby+door_wood_creaks,0.8125
crying_baby+door_wood_knock,1.0
crying_baby+drinking_sipping,0.84375
crying_baby+engine,1.0
crying_baby+fireworks,0.875
crying_baby+footsteps,0.8125
crying_baby+frog,0.90625
crying_baby+glass_breaking,0.90625
crying_baby+hand_saw,0.875
crying_baby+helicopter,1.0
crying_baby+hen,0.8125
crying_baby+insects,0.875
crying_baby+keyboard_typing,0.84375
crying_baby+laughing,0.6875
crying_baby+mouse_click,0.9375
crying_baby+pig,0.84375
crying_baby+pouring_water,0.65625
crying_baby+rain,0.96875
crying_baby+rooster,0.875
crying_baby+sea_waves,1.0
crying_baby+sheep,0.78125
crying_baby+siren,0.90625
crying_baby+sneezing,0.9375
crying_baby+snoring,0.9375
crying_baby+thunderstorm,0.96875
crying_baby+toilet_flush,0.96875
crying_baby+train,0.96875
crying_baby+vacuum_cleaner,1.0
crying_baby+washing_machine,0.96875
crying_baby+water_drops,0.9375
crying_baby+wind,1.0
dog+door_wood_creaks,0.75
dog+door_wood_knock,0.90625
dog+drinking_sipping,0.8125
dog+engine,0.96875
dog+fireworks,0.9375
dog+footsteps,0.90625
dog+frog,0.78125
dog+glass_breaking,1.0
dog+hand_saw,1.0
dog+helicopter,0.96875
dog+hen,0.8125
dog+insects,0.90625
dog+keyboard_typing,0.8125
dog+laughing,0.53125
dog+mouse_click,0.96875
dog+pig,0.8125
dog+pouring_water,0.78125
dog+rain,0.9375
dog+rooster,0.875
dog+sea_waves,0.9375
dog+sheep,0.84375
dog+siren,0.875
dog+sneezing,0.9375
dog+snoring,1.0
dog+thunderstorm,1.0
dog+toilet_flush,0.90625
dog+train,1.0
dog+vacuum_cleaner,0.90625
dog+washing_machine,0.90625
dog+water_drops,0.8125
dog+wind,1.0
door_wood_creaks+door_wood_knock,0.78125
door_wood_creaks+drinking_sipping,0.8125
door_wood_creaks+engine,0.84375
door_wood_creaks+fireworks,0.71875
door_wood_creaks+footsteps,0.6875
door_wood_creaks+frog,0.71875
door_wood_creaks+glass_breaking,0.71875
door_wood_creaks+hand_saw,0.71875
door_wood_creaks+helicopter,0.8125
door_wood_creaks+hen,0.78125
door_wood_creaks+insects,0.75
door_wood_creaks+keyboard_typing,0.71875
door_wood_creaks+laughing,0.625
door_wood_creaks+mouse_click,0.84375
door_wood_creaks+pig,0.65625
door_wood_creaks+pouring_water,0.78125
door_wood_creaks+rain,0.78125
door_wood_creaks+rooster,0.96875
door_wood_creaks+sea_waves,0.84375
door_wood_creaks+sheep,0.71875
door_wood_creaks+siren,0.84375
door_wood_creaks+sneezing,0.9375
door_wood_creaks+snoring,0.8125
door_wood_creaks+thunderstorm,0.84375
door_wood_creaks+toilet_flush,0.71875
door_wood_creaks+train,0.875
door_wood_creaks+vacuum_cleaner,0.90625
door_wood_creaks+washing_machine,0.78125
door_wood_creaks+water_drops,0.8125
door_wood_creaks+wind,0.875
door_wood_knock+drinking_sipping,0.78125
door_wood_knock+engine,1.0
door_wood_knock+fireworks,0.84375
door_wood_knock+footsteps,0.8125
door_wood_knock+frog,0.875
door_wood_knock+glass_breaking,1.0
door_wood_knock+hand_saw,0.96875
door_wood_knock+helicopter,1.0
door_wood_knock+hen,0.96875
door_wood_knock+insects,0.9375
door_wood_knock+keyboard_typing,0.875
door_wood_knock+laughing,1.0
door_wood_knock+mouse_click,0.8125
door_wood_knock+pig,0.8125
door_wood_knock+pouring_water,0.9375
door_wood_knock+rain,0.96875
door_wood_knock+rooster,0.96875
door_wood_knock+sea_waves,1.0
door_wood_knock+sheep,1.0
door_wood_knock+siren,1.0
door_wood_knock+sneezing,1.0
door_wood_knock+snoring,0.8125
door_wood_knock+thunderstorm,0.96875
door_wood_knock+toilet_flush,0.96875
door_wood_knock+train,1.0
door_wood_knock+vacuum_cleaner,0.96875
door_wood_knock+washing_machine,0.875
door_wood_knock+water_drops,0.84375
door_wood_knock+wind,1.0
drinking_sipping+engine,1.0
drinking_sipping+fireworks,0.65625
drinking_sipping+footsteps,0.78125
drinking_sipping+frog,0.84375
drinking_sipping+glass_breaking,0.96875
drinking_sipping+hand_saw,1.0
drinking_sipping+helicopter,0.96875
drinking_sipping+hen,0.84375
drinking_sipping+insects,0.75
drinking_sipping+keyboard_typing,0.6875
drinking_sipping+laughing,0.65625
drinking_sipping+mouse_click,0.78125
drinking_sipping+pig,0.8125
drinking_sipping+pouring_water,0.78125
drinking_sipping+rain,0.96875
drinking_sipping+rooster,0.8125
drinking_sipping+sea_waves,0.96875
drinking_sipping+sheep,0.90625
drinking_sipping+siren,0.875
drinking_sipping+sneezing,0.8125
drinking_sipping+snoring,0.84375
drinking_sipping+thunderstorm,1.0
drinking_sipping+toilet_flush,0.9375
drinking_sipping+train,1.0
drinking_sipping+vacuum_cleaner,1.0
drinking_sipping+washing_machine,0.875
drinking_sipping+water_drops,0.65625
drinking_sipping+wind,0.96875
engine+fireworks,0.9375
engine+footsteps,1.0
engine+frog,0.96875
engine+glass_breaking,1.0
engine+hand_saw,0.9375
engine+helicopter,0.71875
engine+hen,1.0
engine+insects,0.90625
engine+keyboard_typing,1.0
engine+laughing,1.0
engine+mouse_click,0.96875
engine+pig,1.0
engine+pouring_water,1.0
engine+rain,0.78125
engine+rooster,1.0
engine+sea_waves,0.8125
engine+sheep,0.9375
engine+siren,1.0
engine+sneezing,1.0
engine+snoring,0.96875
engine+thunderstorm,1.0
engine+toilet_flush,0.90625
engine+train,0.90625
engine+vacuum_cleaner,0.84375
engine+washing_machine,0.84375
engine+water_drops,0.9375
engine+wind,0.8125
fireworks+footsteps,0.53125
fireworks+frog,0.75
fireworks+glass_breaking,0.96875
fireworks+hand_saw,0.96875
fireworks+helicopter,0.96875
fireworks+hen,0.84375
fireworks+insects,0.90625
fireworks+keyboard_typing,0.71875
fireworks+laughing,0.75
fireworks+mouse_click,0.84375
fireworks+pig,0.90625
fireworks+pouring_water,0.90625
fireworks+rain,1.0
fireworks+rooster,1.0
fireworks+sea_waves,0.96875
fireworks+sheep,0.75
fireworks+siren,0.96875
fireworks+sneezing,0.96875
fireworks+snoring,0.9375
fireworks+thunderstorm,1.0
fireworks+toilet_flush,0.9375
fireworks+train,0.96875
fireworks+vacuum_cleaner,0.96875
fireworks+washing_machine,0.90625
fireworks+water_drops,0.84375
fireworks+wind,1.0
footsteps+frog,0.75
footsteps+glass_breaking,0.96875
footsteps+hand_saw,0.9375
footsteps+helicopter,0.9375
footsteps+hen,0.8125
footsteps+insects,0.78125
footsteps+keyboard_typing,0.6875
footsteps+laughing,0.75
footsteps+mouse_click,0.75
footsteps+pig,0.78125
footsteps+pouring_water,0.75
footsteps+rain,0.9375
footsteps+rooster,0.9375
footsteps+sea_waves,0.9375
footsteps+sheep,0.875
footsteps+siren,0.96875
footsteps+sneezing,0.9375
footsteps+snoring,0.75
footsteps+thunderstorm,0.875
footsteps+toilet_flush,0.90625
footsteps+train,1.0
footsteps+vacuum_cleaner,0.96875
footsteps+washing_machine,0.875
footsteps+water_drops,0.84375
footsteps+wind,1.0
frog+glass_breaking,0.96875
frog+hand_saw,0.875
frog+helicopter,0.96875
frog+hen,0.84375
